00:12:27.639 -> Inizializzazione del modello Siamese...
00:12:27.639 -> Modello inizializzato correttamente!
00:12:35.162 -> Coppia 0: Similarità = 0.003882 | Predizione = 1 | Reale = 1
00:12:42.649 -> Coppia 1: Similarità = 0.000316 | Predizione = 1 | Reale = 1
00:12:50.156 -> Coppia 2: Similarità = 1.393511 | Predizione = 0 | Reale = 0
00:12:57.674 -> Coppia 3: Similarità = 0.968475 | Predizione = 0 | Reale = 0
00:13:05.171 -> Coppia 4: Similarità = 0.004387 | Predizione = 1 | Reale = 1
00:13:12.677 -> Coppia 5: Similarità = 1.363031 | Predizione = 0 | Reale = 0
00:13:20.167 -> Coppia 6: Similarità = 1.372970 | Predizione = 0 | Reale = 0
00:13:27.681 -> Coppia 7: Similarità = 0.972112 | Predizione = 0 | Reale = 0
00:13:35.189 -> Coppia 8: Similarità = 0.394564 | Predizione = 1 | Reale = 0
00:13:42.699 -> Coppia 9: Similarità = 0.001478 | Predizione = 1 | Reale = 1
00:13:50.202 -> Coppia 10: Similarità = 0.005274 | Predizione = 1 | Reale = 1
00:13:57.682 -> Coppia 11: Similarità = 0.000650 | Predizione = 1 | Reale = 1
00:14:05.209 -> Coppia 12: Similarità = 0.000316 | Predizione = 1 | Reale = 1
00:14:12.702 -> Coppia 13: Similarità = 1.400469 | Predizione = 0 | Reale = 0
00:14:20.204 -> Coppia 14: Similarità = 0.993477 | Predizione = 0 | Reale = 0
00:14:27.720 -> Coppia 15: Similarità = 0.002110 | Predizione = 1 | Reale = 1
00:14:35.229 -> Coppia 16: Similarità = 0.003662 | Predizione = 1 | Reale = 1
00:14:42.725 -> Coppia 17: Similarità = 0.001940 | Predizione = 1 | Reale = 1
00:14:50.214 -> Coppia 18: Similarità = 0.012342 | Predizione = 1 | Reale = 1
00:14:57.715 -> Coppia 19: Similarità = 0.001295 | Predizione = 1 | Reale = 1
00:15:05.238 -> Coppia 20: Similarità = 0.005072 | Predizione = 1 | Reale = 1
00:15:12.749 -> Coppia 21: Similarità = 1.395471 | Predizione = 0 | Reale = 0
00:15:20.261 -> Coppia 22: Similarità = 0.003607 | Predizione = 1 | Reale = 1
00:15:27.748 -> Coppia 23: Similarità = 1.409903 | Predizione = 0 | Reale = 0
00:15:35.255 -> Coppia 24: Similarità = 0.005920 | Predizione = 1 | Reale = 1
00:15:42.750 -> Coppia 25: Similarità = 0.021539 | Predizione = 1 | Reale = 1
00:15:50.258 -> Coppia 26: Similarità = 0.994559 | Predizione = 0 | Reale = 0
00:15:57.771 -> Coppia 27: Similarità = 0.009144 | Predizione = 1 | Reale = 1
00:16:05.280 -> Coppia 28: Similarità = 1.391670 | Predizione = 0 | Reale = 0
00:16:12.781 -> Coppia 29: Similarità = 1.403851 | Predizione = 0 | Reale = 0
00:16:20.278 -> Coppia 30: Similarità = 0.990995 | Predizione = 0 | Reale = 0
00:16:27.789 -> Coppia 31: Similarità = 1.392538 | Predizione = 0 | Reale = 0
00:16:35.275 -> Coppia 32: Similarità = 1.332622 | Predizione = 0 | Reale = 0
