Epoca: 200, Current best: 18.9, previous best: 18.9
Epoca: 400, Current best: 20.3, previous best: 20.3
Epoca: 800, Current best: 23.1, previous best: 23.1
Epoca: 1600, Current best: 26.1, previous best: 26.1
Epoca: 3200, Current best: 26.5, previous best: 26.5
Epoca: 5000, Current best: 29.9, previous best: 29.9
Epoca: 7600, Current best: 48.5, previous best: 48.5
Epoca: 12000, Current best: 52.2, previous best: 52.2
Epoca: 12800, Current best: 55.7, previous best: 55.7
Epoca: 15400, Current best: 56.4, previous best: 56.4
Epoca: 20400, Current best: 57.1, previous best: 57.1
Epoca: 21800, Current best: 57.2, previous best: 57.2
Epoca: 23000, Current best: 58.6, previous best: 58.6
Epoca: 23200, Current best: 58.7, previous best: 58.7
Epoca: 24000, Current best: 58.7, previous best: 58.7
Epoca: 24400, Current best: 58.9, previous best: 58.9
Epoca: 24600, Current best: 59.6, previous best: 59.6
Epoca: 26000, Current best: 59.6, previous best: 59.6
Epoca: 26200, Current best: 60.7, previous best: 60.7
Epoca: 26400, Current best: 61.3, previous best: 61.3
Epoca: 27000, Current best: 61.4, previous best: 61.4
Epoca: 27600, Current best: 61.5, previous best: 61.5
Epoca: 27800, Current best: 62.1, previous best: 62.1
Epoca: 28000, Current best: 62.9, previous best: 62.9
Epoca: 28800, Current best: 63.9, previous best: 63.9
Epoca: 29400, Current best: 67.0, previous best: 67.0
Epoca: 33000, Current best: 68.7, previous best: 68.7
Epoca: 34000, Current best: 68.8, previous best: 68.8
Epoca: 34400, Current best: 70.1, previous best: 70.1
Epoca: 34600, Current best: 70.7, previous best: 70.7
Epoca: 35400, Current best: 71.1, previous best: 71.1
Epoca: 35800, Current best: 71.8, previous best: 71.8
Epoca: 36000, Current best: 72.0, previous best: 72.0
Epoca: 36200, Current best: 73.0, previous best: 73.0
Epoca: 36600, Current best: 73.4, previous best: 73.4
Epoca: 37600, Current best: 74.4, previous best: 74.4
Epoca: 38800, Current best: 75.5, previous best: 75.5
Epoca: 40600, Current best: 76.0, previous best: 76.0
Epoca: 40800, Current best: 77.5, previous best: 77.5
Epoca: 47600, Current best: 77.5, previous best: 77.5
Epoca: 49600, Current best: 78.6, previous best: 78.6
Epoca: 55000, Current best: 79.6, previous best: 79.6
Epoca: 55600, Current best: 79.8, previous best: 79.8
Epoca: 61400, Current best: 81.1, previous best: 81.1
Epoca: 62400, Current best: 81.2, previous best: 81.2
Epoca: 66800, Current best: 81.6, previous best: 81.6
Epoca: 67800, Current best: 82.1, previous best: 82.1
Epoca: 70200, Current best: 82.4, previous best: 82.4
Epoca: 74800, Current best: 82.8, previous best: 82.8
Epoca: 78200, Current best: 83.0, previous best: 83.0
Epoca: 79400, Current best: 83.0, previous best: 83.0
Epoca: 79600, Current best: 83.0, previous best: 83.0
Epoca: 80600, Current best: 83.2, previous best: 83.2
Epoca: 81200, Current best: 83.2, previous best: 83.2
Epoca: 82800, Current best: 84.2, previous best: 84.2
Epoca: 85000, Current best: 84.3, previous best: 84.3
Epoca: 86600, Current best: 84.5, previous best: 84.5
Epoca: 88200, Current best: 84.9, previous best: 84.9
Epoca: 88800, Current best: 85.2, previous best: 85.2
Epoca: 89400, Current best: 86.0, previous best: 86.0
Epoca: 94600, Current best: 86.5, previous best: 86.5
Epoca: 105200, Current best: 86.6, previous best: 86.6
Epoca: 106600, Current best: 86.9, previous best: 86.9
Epoca: 108400, Current best: 87.7, previous best: 87.7
Epoca: 111000, Current best: 87.7, previous best: 87.7
Epoca: 115600, Current best: 87.7, previous best: 87.7
Epoca: 126400, Current best: 87.7, previous best: 87.7
Epoca: 134200, Current best: 87.8, previous best: 87.8
Epoca: 139600, Current best: 87.8, previous best: 87.8
Epoca: 151200, Current best: 88.3, previous best: 88.3
Epoca: 159800, Current best: 88.3, previous best: 88.3
Epoca: 167800, Current best: 88.6, previous best: 88.6
Epoca: 170200, Current best: 88.9, previous best: 88.9
