Epoca: 200, Current best: 25.4, previous best: 25.4
Epoca: 600, Current best: 26.0, previous best: 26.0
Epoca: 1600, Current best: 29.5, previous best: 29.5
Epoca: 2000, Current best: 31.0, previous best: 31.0
Epoca: 5000, Current best: 31.2, previous best: 31.2
Epoca: 7000, Current best: 33.8, previous best: 33.8
Epoca: 8000, Current best: 38.0, previous best: 38.0
Epoca: 8600, Current best: 41.8, previous best: 41.8
Epoca: 9400, Current best: 46.9, previous best: 46.9
Epoca: 11600, Current best: 57.3, previous best: 57.3
Epoca: 13400, Current best: 58.3, previous best: 58.3
Epoca: 16000, Current best: 60.7, previous best: 60.7
Epoca: 17000, Current best: 61.0, previous best: 61.0
Epoca: 17400, Current best: 62.6, previous best: 62.6
Epoca: 21600, Current best: 63.5, previous best: 63.5
Epoca: 22000, Current best: 63.8, previous best: 63.8
Epoca: 23200, Current best: 63.8, previous best: 63.8
Epoca: 23400, Current best: 64.2, previous best: 64.2
Epoca: 23600, Current best: 65.9, previous best: 65.9
Epoca: 23800, Current best: 70.3, previous best: 70.3
Epoca: 25200, Current best: 71.2, previous best: 71.2
Epoca: 26000, Current best: 75.1, previous best: 75.1
Epoca: 29600, Current best: 76.3, previous best: 76.3
Epoca: 30400, Current best: 76.7, previous best: 76.7
Epoca: 30800, Current best: 77.1, previous best: 77.1
Epoca: 31000, Current best: 78.5, previous best: 78.5
Epoca: 31600, Current best: 79.1, previous best: 79.1
Epoca: 31800, Current best: 80.4, previous best: 80.4
Epoca: 33800, Current best: 82.6, previous best: 82.6
Epoca: 34200, Current best: 83.5, previous best: 83.5
Epoca: 35200, Current best: 84.4, previous best: 84.4
Epoca: 37600, Current best: 85.2, previous best: 85.2
Epoca: 43400, Current best: 85.9, previous best: 85.9
Epoca: 44400, Current best: 86.3, previous best: 86.3
Epoca: 45600, Current best: 86.6, previous best: 86.6
Epoca: 48000, Current best: 87.0, previous best: 87.0
Epoca: 48800, Current best: 87.5, previous best: 87.5
Epoca: 49400, Current best: 88.3, previous best: 88.3
Epoca: 50400, Current best: 88.9, previous best: 88.9
Epoca: 57800, Current best: 89.3, previous best: 89.3
Epoca: 62600, Current best: 89.6, previous best: 89.6
Epoca: 64000, Current best: 89.8, previous best: 89.8
Epoca: 66200, Current best: 89.8, previous best: 89.8
Epoca: 71600, Current best: 91.6, previous best: 91.6
Epoca: 82800, Current best: 92.2, previous best: 92.2
Epoca: 83400, Current best: 92.6, previous best: 92.6
Epoca: 83800, Current best: 92.7, previous best: 92.7
Epoca: 84000, Current best: 93.2, previous best: 93.2
Epoca: 84600, Current best: 93.3, previous best: 93.3
Epoca: 85600, Current best: 93.6, previous best: 93.6
Epoca: 85800, Current best: 94.3, previous best: 94.3
Epoca: 87000, Current best: 94.4, previous best: 94.4
Epoca: 87400, Current best: 94.4, previous best: 94.4
Epoca: 89200, Current best: 95.4, previous best: 95.4
Epoca: 89800, Current best: 95.5, previous best: 95.5
Epoca: 91600, Current best: 96.0, previous best: 96.0
Epoca: 92600, Current best: 96.1, previous best: 96.1
Epoca: 95000, Current best: 96.1, previous best: 96.1
Epoca: 96800, Current best: 96.8, previous best: 96.8
Epoca: 97600, Current best: 97.1, previous best: 97.1
Epoca: 99800, Current best: 97.1, previous best: 97.1
Epoca: 100000, Current best: 97.1, previous best: 97.1
Epoca: 101000, Current best: 97.2, previous best: 97.2
Epoca: 102400, Current best: 97.7, previous best: 97.7
Epoca: 103400, Current best: 97.9, previous best: 97.9
Epoca: 112600, Current best: 98.4, previous best: 98.4
Epoca: 132400, Current best: 98.4, previous best: 98.4
Epoca: 133400, Current best: 99.2, previous best: 99.2
